story_id,source_url,canonical_url,story_family_key,story_family_count,is_duplicate_url,source_batch,active_flag,published_at,headline_raw,headline,headline_word_count,editorial_team_list,source_tags_raw,source_tags_clean,analysis_basis,analysis_confidence,primary_entity,entity_type,entity_role,secondary_entities,topic_cluster,topic_cluster_label,main_point_of_interest,topic_subject,framing,angle,content_type,tone,framing_scope_flag,hook_type,reader_promise,narrative_device,stakes,specificity_level,evidence_type,audience_fit,replicable_elements,trend_anchor,trend_query_terms,trend_exclusion_notes,trend_fit_score,search_use_case
11,https://www.businessinsider.com/witness-protection-protectee-44-years-made-her-life-worse-2025-10,https://www.businessinsider.com/witness-protection-protectee-44-years-made-her-life-worse-2025-10,https://www.businessinsider.com/witness-protection-protectee-44-years-made-her-life-worse-2025-10,1,no,evergreen stories pull 2026-06-09T1228,yes,2025-10-22,A member of the US Witness Protection Program since age 7 explains how the experience changed her life for the worse,A member of the US Witness Protection Program since age 7 explains how the experience changed her life for the worse,21,Video,video-to-text|Witness Protection|Identity|Birth Certificate|hell's angels|Bombing|Drugs|Alcohol|Podcast,video-to-text|Witness Protection|Identity|Birth Certificate|hell's angels|Bombing|Drugs|Alcohol|Podcast,headline + source tags,high,video-to-text,topic,,,other,other,Current development,A news development with reader consequences,straight-news framing,Lead with the event and make the consequence visible fast.,News / report,"Neutral, informative","Broad, reusable",current development,The latest development and what it changes.,event lead,The main stake is whether the development changes the story's direction or keeps pressure on the people involved.,Specific,reporting,general news readers,"Lead with the event, then make the consequence visible.",broad news interest,business|story|trend,Broad topic only; treat as low-priority unless the query is very specific. No strong trend anchor beyond the headline itself.,35,Use when the query needs a specific story angle rather than a broad topic result. Anchor: broad news interest.
12,https://www.businessinsider.com/ex-cia-officer-john-kiriakou-how-secrecy-strained-marriage-2026-3,https://www.businessinsider.com/ex-cia-officer-john-kiriakou-how-secrecy-strained-marriage-2026-3,https://www.businessinsider.com/ex-cia-officer-john-kiriakou-how-secrecy-strained-marriage-2026-3,1,no,evergreen stories pull 2026-06-09T1228,yes,2026-03-12,Ex-CIA chief officer explains how government work strained his marriage,Ex-CIA chief officer explains how government work strained his marriage,10,Video,video-to-text|CIA|Counter Terrorism|Marriage|Divorce,video-to-text|CIA|Counter Terrorism|Marriage|Divorce,headline + source tags,high,video-to-text,topic,,,entertainment_and_culture,entertainment and culture,Cultural reaction,Celebrity attention and culture coverage,human-interest lesson framing,Use a personal story to make a broader lesson concrete.,Feature / report,"Personal, revealing, narrative","Broad, especially strong in celebrity and culture coverage",personal story,How the story plays in public and culture.,before/after,The stake is the practical consequence the reader can understand immediately.,Specific,first-person anecdote,culture and celebrity readers,Use a personal anecdote to make a broad trend legible.,celebrity attention and audience interest,celebrity|relationship|breakup|culture|media,Do not use for broad celebrity search unless the relationship angle matters.,35,Use when the query needs a specific story angle rather than a broad topic result. Anchor: celebrity attention and audience interest.
13,https://www.businessinsider.com/self-made-billionaire-john-morgan-fired-son-teach-respect-2025-11,https://www.businessinsider.com/self-made-billionaire-john-morgan-fired-son-teach-respect-2025-11,https://www.businessinsider.com/self-made-billionaire-john-morgan-fired-son-teach-respect-2025-11,1,no,evergreen stories pull 2026-06-09T1228,yes,2025-11-29,A self-made billionaire raised his kids to appreciate money. He fired his son once to get the message through.,A self-made billionaire raised his kids to appreciate money. He fired his son once to get the message through.,19,Video,video-to-text|Billionaire|Self-Made Billionaires|Parenting,video-to-text|Billionaire|Self-Made Billionaires|Parenting,headline + source tags,high,video-to-text,topic,,,personal_finance_and_affordability,personal finance and affordability,Cost-of-living impact,Money decisions and affordability pressure,policy-to-wallet framing,"Show how a policy, price change, or market shift hits household budgets.",Explainer / analysis,"Practical, consequential, consumer-facing","Broad, especially strong in finance and personal-money coverage",financial consequence,How the story affects budgets and affordability.,implication,The stake is whether the development changes how expensive life feels for the reader or the subject.,Specific,analysis,"people tracking money, saving, and affordability",Turn a policy or price move into household impact.,money pressure and affordability,retirement|saving|savings|inflation|mortgage|affordability|budget|cost of living,,45,"Use when the query is about savings, retirement, inflation, affordability, or household money pressure. Anchor: money pressure and affordability."
14,https://www.businessinsider.com/how-sex-scenes-shot-filmed-hollywood-movies-televison-coordinator-2019-10,https://www.businessinsider.com/how-sex-scenes-shot-filmed-hollywood-movies-televison-coordinator-2019-10,https://www.businessinsider.com/how-sex-scenes-shot-filmed-hollywood-movies-televison-coordinator-2019-10,1,no,evergreen stories pull 2026-06-09T1228,yes,2019-10-27,How sex scenes are shot in movies and television,How sex scenes are shot in movies and television,9,Video,video format movies insider|Film|Acting|Workshop|Actors|Sex and Psychology|movies insider|International|Acting workshop|UK Original Video|Movies|Sex|Video|film analysis|Director,video format movies insider|Film|Acting|Workshop|Actors|Sex and Psychology|movies insider|International|Acting workshop|UK Original Video|Movies|Sex|Video|film analysis|Director,headline + source tags,high,video format movies insider,topic,,,entertainment_and_culture,entertainment and culture,Cultural reaction,Celebrity attention and culture coverage,human-interest lesson framing,Use a personal story to make a broader lesson concrete.,Feature / report,"Personal, revealing, narrative","Broad, especially strong in celebrity and culture coverage",personal story,How the story plays in public and culture.,before/after,The stake is the practical consequence the reader can understand immediately.,Specific,first-person anecdote,culture and celebrity readers,Use a personal anecdote to make a broad trend legible.,celebrity attention and audience interest,celebrity|relationship|breakup|culture|media,,45,Use when the query needs a specific story angle rather than a broad topic result. Anchor: celebrity attention and audience interest.
15,https://www.businessinsider.com/how-your-vagina-changes-2018-11,https://www.businessinsider.com/how-your-vagina-changes-2018-11,https://www.businessinsider.com/how-your-vagina-changes-2018-11,2,yes,evergreen stories pull 2026-06-09T1228,yes,2018-11-27,"How your vagina changes in your 20s, 30s, and beyond","How your vagina changes in your 20s, 30s, and beyond",10,Special Projects,vaginal health|Evergreen story|Sexual Health|Features,vaginal health|Sexual Health,headline + source tags,high,vaginal health,topic,,,health_and_wellness,health and wellness,Current development,Health decisions and wellness outcomes,straight-news framing,Lead with the event and make the consequence visible fast.,News / report,"Neutral, informative","Broad, especially strong in health and wellness coverage",current development,The latest development and what it changes.,event lead,The main stake is whether the development changes the story's direction or keeps pressure on the people involved.,Specific,reporting,health-conscious readers,"Lead with the event, then make the consequence visible.",health habits and outcomes,business|story|trend,,45,"Use when the query is about health habits, diet, fitness, or medical risk. Anchor: health habits and outcomes."
16,https://www.businessinsider.com/regions-america-bible-belt-rust-belt-2018-4,https://www.businessinsider.com/regions-america-bible-belt-rust-belt-2018-4,https://www.businessinsider.com/regions-america-bible-belt-rust-belt-2018-4,2,yes,evergreen stories pull 2026-06-09T1228,yes,2023-02-20,"MAP: From the Bible Belt to the Rust Belt, the United States has 13 distinct 'belts'","MAP: From the Bible Belt to the Rust Belt, the United States has 13 distinct 'belts'",16,Copy|West Coast,united states|Culture|Regions|Wheat|Shayanne Gal|Features|Geography|BIStrategy|Corn|Agriculture|BI Graphics|Rust Belt|Snow|Weather|Religion,united states|Culture|Regions|Wheat|Shayanne Gal|Geography|BIStrategy|Corn|Agriculture|Rust Belt|Snow|Weather|Religion,headline + source tags,medium,united states,topic,,,other,other,Current development,A news development with reader consequences,straight-news framing,Lead with the event and make the consequence visible fast.,News / report,"Neutral, informative","Broad, reusable",current development,The latest development and what it changes.,event lead,The main stake is whether the development changes the story's direction or keeps pressure on the people involved.,Moderately specific,reporting,general news readers,"Lead with the event, then make the consequence visible.",broad news interest,business|story|trend,Broad topic only; treat as low-priority unless the query is very specific. No strong trend anchor beyond the headline itself.,25,Use when the query needs a specific story angle rather than a broad topic result. Anchor: broad news interest.
17,https://www.businessinsider.com/twilight-cast-real-ages-versus-characters-2023-11,https://www.businessinsider.com/twilight-cast-real-ages-versus-characters-2023-11,https://www.businessinsider.com/twilight-cast-real-ages-versus-characters-2023-11,1,no,evergreen stories pull 2026-06-09T1228,yes,2023-11-20,How old the stars of 'Twilight' were compared to their characters' ages,How old the stars of 'Twilight' were compared to their characters' ages,12,Entertainment Team,twilight 15th anniversary 2023|Kristen Stewart|Taylor Lautner|Twilight|Movie|Celebrities|Robert Pattinson|Features,twilight 15th anniversary 2023|Kristen Stewart|Taylor Lautner|Twilight|Movie|Celebrities|Robert Pattinson,headline + source tags,high,twilight 15th anniversary 2023,topic,,,entertainment_and_culture,entertainment and culture,Comparison tradeoff,Celebrity attention and culture coverage,human-interest lesson framing,Use a personal story to make a broader lesson concrete.,Feature / report,"Personal, revealing, narrative","Broad, especially strong in celebrity and culture coverage",personal story,A clear comparison that helps the reader choose.,before/after,The stake is the practical consequence the reader can understand immediately.,Specific,first-person anecdote,culture and celebrity readers,Use a personal anecdote to make a broad trend legible.,celebrity attention and audience interest,celebrity|relationship|breakup|culture|media,,45,Use when the query needs a specific story angle rather than a broad topic result. Anchor: celebrity attention and audience interest.
18,https://www.businessinsider.com/review-eye-mask-travel-pillow-long-haul-flight-economy-2025-2,https://www.businessinsider.com/review-eye-mask-travel-pillow-long-haul-flight-economy-2025-2,https://www.businessinsider.com/review-eye-mask-travel-pillow-long-haul-flight-economy-2025-2,1,no,evergreen stories pull 2026-06-09T1228,yes,2025-02-02,"I tried the viral sleep mask that attaches to your plane seat on a 10-hour flight to Germany. It had its pros, but I won't pack it again.","I tried the viral sleep mask that attaches to your plane seat on a 10-hour flight to Germany. It had its pros, but I won't pack it again.",28,Lifestyle Team,travel pillow|long haul flights|Dolomites 2024|Economy|Travel,travel pillow|long haul flights|Dolomites 2024|Economy|Travel,headline + source tags,high,travel pillow,topic,,,travel_and_transportation,travel and transportation,Travel disruption,Flight and airport disruption,travel-disruption framing,Make the disruption legible as a trip or transport problem.,News / report,"Surprised, concrete, traveler-focused","Broad, especially strong in travel and transportation coverage",travel disruption,How the disruption changes the trip or travel experience.,disruption,"The stake is whether the disruption changes the trip, schedule, or traveler experience.",Specific,reporting,travelers and commuters,Make the disruption concrete and traveler-specific.,travel disruption and trip reliability,flight|airport|airline|cruise|trip|travel,,55,"Use when the query is about flights, airports, disruptions, cruise behavior, or transport problems. Anchor: travel disruption and trip reliability."
19,https://www.businessinsider.com/queer-sex-what-is-a-top-bottom-verse-2021-2,https://www.businessinsider.com/queer-sex-what-is-a-top-bottom-verse-2021-2,https://www.businessinsider.com/queer-sex-what-is-a-top-bottom-verse-2021-2,1,no,evergreen stories pull 2026-06-09T1228,yes,2023-07-28,"Troye Sivan said he's a 'verse' during sex, not a 'top' or 'bottom.' Here's what the terms mean.","Troye Sivan said he's a 'verse' during sex, not a 'top' or 'bottom.' Here's what the terms mean.",18,Special Projects,top|Crystal Cox|Out Insider|Insider Sex Ed|BI Photo|LGBTQ|Queer|Sex|Bottom,top|Crystal Cox|Out Insider|Insider Sex Ed|BI Photo|LGBTQ|Queer|Sex|Bottom,headline + source tags,high,top,topic,,,other,other,Utility payoff,A news development with reader consequences,utility / decision-aid framing,"Give the reader a direct payoff, shortcut, or recommendation.",Guide / service,"Helpful, practical, direct","Broad, reusable",utility,"A quick, practical answer the reader can use.",service promise,The stake is whether the reader can use the information immediately.,Specific,mixed,general news readers,"Promise a direct payoff, deliver it early, and make the reader's next step obvious.",broad news interest,business|story|trend,Broad topic only; treat as low-priority unless the query is very specific. No strong trend anchor beyond the headline itself.,35,Use when the query needs a specific story angle rather than a broad topic result. Anchor: broad news interest.
20,https://www.businessinsider.com/first-visit-universal-studios-hollywood-compared-to-disney-2025-1,https://www.businessinsider.com/first-visit-universal-studios-hollywood-compared-to-disney-2025-1,https://www.businessinsider.com/first-visit-universal-studios-hollywood-compared-to-disney-2025-1,1,no,evergreen stories pull 2026-06-09T1228,yes,2025-01-25,"I'm a Disney fan who visited Universal for the first time. It didn't win me over, but a few of its perks blew me away.","I'm a Disney fan who visited Universal for the first time. It didn't win me over, but a few of its perks blew me away.",25,Lifestyle Freelance,theme park|Universal|universal hollywood|Disneyland|Freelancer|freelancer-le|Disney|Theme Parks,theme park|Universal|universal hollywood|Disneyland|Disney|Theme Parks,headline + source tags,high,theme park,topic,,,other,other,Current development,A news development with reader consequences,straight-news framing,Lead with the event and make the consequence visible fast.,News / report,"Neutral, informative","Broad, reusable",current development,The latest development and what it changes.,event lead,The main stake is whether the development changes the story's direction or keeps pressure on the people involved.,Specific,reporting,general news readers,"Lead with the event, then make the consequence visible.",broad news interest,business|story|trend,Broad topic only; treat as low-priority unless the query is very specific. No strong trend anchor beyond the headline itself.,35,Use when the query needs a specific story angle rather than a broad topic result. Anchor: broad news interest.
21,https://www.businessinsider.com/what-religion-are-the-duggars-iblp-christian-cult-allegations,https://www.businessinsider.com/what-religion-are-the-duggars-iblp-christian-cult-allegations,https://www.businessinsider.com/what-religion-are-the-duggars-iblp-christian-cult-allegations,1,no,evergreen stories pull 2026-06-09T1228,yes,2023-06-02,The Duggars practice an ultra-strict form of Christianity. A new docuseries alleges the religion is 'cult-like.',The Duggars practice an ultra-strict form of Christianity. A new docuseries alleges the religion is 'cult-like.',16,Entertainment Team,the duggars|Jill Duggar|Michelle Duggar|The insitute of basic life principals|Amy Duggar King|Jinger Vuolo|IBLP|Disney|the duggar family|Josh Duggar|Jim Bob Duggar,the duggars|Jill Duggar|Michelle Duggar|The insitute of basic life principals|Amy Duggar King|Jinger Vuolo|IBLP|Disney|the duggar family|Josh Duggar|Jim Bob Duggar,headline + source tags,high,the duggars,topic,,,education_and_family,education and family,Current development,Family and caregiving tradeoffs,straight-news framing,Lead with the event and make the consequence visible fast.,News / report,"Neutral, informative","Broad, especially strong in education and parenting coverage",current development,The latest development and what it changes.,event lead,The main stake is whether the development changes the story's direction or keeps pressure on the people involved.,Specific,reporting,parents and family-focused readers,"Lead with the event, then make the consequence visible.",broad news interest,business|story|trend,No strong trend anchor beyond the headline itself.,35,Use when the query needs a specific story angle rather than a broad topic result. Anchor: broad news interest.
22,https://www.businessinsider.com/the-cheesecake-factory-best-and-worst-food-to-order,https://www.businessinsider.com/the-cheesecake-factory-best-and-worst-food-to-order,https://www.businessinsider.com/the-cheesecake-factory-best-and-worst-food-to-order,1,no,evergreen stories pull 2026-06-09T1228,yes,2020-05-03,Former employees reveal the 6 best and 3 worst things to order at The Cheesecake Factory,Former employees reveal the 6 best and 3 worst things to order at The Cheesecake Factory,16,Lifestyle Freelance,the cheesecake factory|Freelancer|Features|Cheesecake Factory|former employees|restaurant|Evergreen story|Food,the cheesecake factory|Cheesecake Factory|former employees|restaurant|Food,headline + source tags,high,the cheesecake factory,topic,,,careers_and_labor,careers and labor,Utility payoff,Workplace pressure and career consequences,utility / decision-aid framing,"Give the reader a direct payoff, shortcut, or recommendation.",Guide / service,"Helpful, practical, direct","Broad, especially strong in jobs, hiring, and workplace coverage",utility,"A quick, practical answer the reader can use.",service promise,The stake is whether the reader can use the information immediately.,Specific,mixed,job seekers and workers,"Promise a direct payoff, deliver it early, and make the reader's next step obvious.",workforce change,layoffs|hiring|jobs|salary|workplace|employees,,55,"Use when the query is about layoffs, hiring, jobs, compensation, or workplace disruption. Anchor: workforce change."
