section,item,group,value,evidence,takeaway
representative_top,"Sarah McLachlan, 58, says she had to 'eat a lot of humble pie' to repair her relationship with her older daughter",Parenting,277835,representative top-decile story,
representative_bottom,Figma's CEO said his software won't replace the work of a world-class designer,AI,9,representative bottom-decile story,
representative_bottom,Apple just joined Nvidia and Microsoft in the $4 trillion club,Markets,9,representative bottom-decile story,
representative_bottom,Figma CEO says job titles are merging thanks to AI — and everyone is a 'product builder',Strategy,9,representative bottom-decile story,
representative_bottom,The cost of lunch breaks is soaring — and more workers are skipping meals to manage,Retail,9,representative bottom-decile story,
representative_bottom,"AI has already run out of training data — but there's more waiting to be unlocked, Goldman's data chief says",AI,9,representative bottom-decile story,
representative_bottom,Tesla stock whipsaws after 3rd-quarter deliveries beat Wall Street's estimates,Markets,9,representative bottom-decile story,
representative_bottom,ChatGPT has been No. 1 in app stores for 7 straight months,Tech,9,representative bottom-decile story,
representative_bottom,The career advice Jensen Huang gave me,Careers,9,representative bottom-decile story,
representative_bottom,AI's top leaders got corralled into holding hands. It made for a photo op for the ages.,AI,9,representative bottom-decile story,
representative_bottom,Best Vistaprint promo codes in May 2026: Get up to $125 off your order,Reviews/Guides,9,representative bottom-decile story,
representative_bottom,Anthropic's latest AI model can tell when it's being evaluated: 'I think you're testing me',AI,8,representative bottom-decile story,
representative_bottom,Americans need friends. The wearable Friend is not one of them.,Discourse,8,representative bottom-decile story,
practical_readout,top_performers,,,,"Top stories are usually built around a concrete incident, disruption, or personal/institutional consequence."
practical_readout,bottom_performers,,,,"Bottom stories are more likely to be utility-driven, trend-driven, or insider/analytical stories without a sharp event hook."
practical_readout,biggest_pattern,,,,The strongest repeated pattern is framing that makes the consequence immediate and easy to picture.
practical_readout,ai_markets_tech,,,,"If a story is about AI, markets, tech, or shopping, it usually needs a sharper event or human stake to break into the top tier."
